OpenJPA 2,3,0 openjpa land;;;;;OpenJPA 2,4,1 openjpa land;;;;;diff;Diff (%)
org,apache,openjpa,kernel,ManagedCache,add(org,apache,openjpa,kernel,StateManagerImpl);10;132345;;;org,apache,openjpa,kernel,ManagedCache,add(org,apache,openjpa,kernel,StateManagerImpl);10;106669;;0;-25676;-24,0707234529
org,apache,openjpa,kernel,StateManagerImpl,clearSavedFields();10;10668;;;org,apache,openjpa,kernel,StateManagerImpl,clearSavedFields();10;9875;;0;-793;-8,0303797468
org,apache,openjpa,jdbc,meta,strats,PrimitiveFieldStrategy,getPrimaryKeyValue(org,apache,openjpa,jdbc,sql,Result,org,apache,openjpa,jdbc,schema,Column[],org,apache,openjpa,jdbc,schema,ForeignKey,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,sql,Joins);10;616692;;;org,apache,openjpa,jdbc,meta,strats,PrimitiveFieldStrategy,getPrimaryKeyValue(org,apache,openjpa,jdbc,sql,Result,org,apache,openjpa,jdbc,schema,Column[],org,apache,openjpa,jdbc,schema,ForeignKey,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,sql,Joins);10;410469;;0;-206223;-50,240822084
org,apache,openjpa,util,ApplicationIds,fromPKValues(java,lang,Object[],org,apache,openjpa,meta,ClassMetaData);10;21727;;;org,apache,openjpa,util,ApplicationIds,fromPKValues(java,lang,Object[],org,apache,openjpa,meta,ClassMetaData);10;16990;;0;-4737;-27,8811065333
org,apache,openjpa,kernel,StateManagerImpl,setPCState(org,apache,openjpa,kernel,PCState);10;123262;;;org,apache,openjpa,kernel,StateManagerImpl,setPCState(org,apache,openjpa,kernel,PCState);10;117731;;0;-5531;-4,6979979784
org,apache,openjpa,kernel,StateManagerImpl,replaceStringField(org,apache,openjpa,enhance,PersistenceCapable,int);10;8693;;;org,apache,openjpa,kernel,StateManagerImpl,replaceStringField(org,apache,openjpa,enhance,PersistenceCapable,int);10;6716;;0;-1977;-29,4371649792
org,apache,openjpa,jdbc,meta,ClassMapping,customLoad(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration,org,apache,openjpa,jdbc,sql,Result);10;13827;;;org,apache,openjpa,jdbc,meta,ClassMapping,customLoad(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration,org,apache,openjpa,jdbc,sql,Result);10;12247;;0;-1580;-12,9011186413
org,apache,openjpa,jdbc,sql,SelectImpl$SelectResult,containsInternal(java,lang,Object,org,apache,openjpa,jdbc,sql,Joins);10;85733;;;org,apache,openjpa,jdbc,sql,SelectImpl$SelectResult,containsInternal(java,lang,Object,org,apache,openjpa,jdbc,sql,Joins);10;63999;;0;-21734;-33,9599056235
org,apache,openjpa,lib,rop,ListResultList,getDelegate();10;1975;;;org,apache,openjpa,lib,rop,ListResultList,getDelegate();10;1976;;0;1;0,0506072874
org,apache,openjpa,kernel,StateManagerImpl,calculateLockLevel(boolean,boolean,org,apache,openjpa,kernel,FetchConfiguration);10;14221;;;org,apache,openjpa,kernel,StateManagerImpl,calculateLockLevel(boolean,boolean,org,apache,openjpa,kernel,FetchConfiguration);10;10669;;0;-3552;-33,2927172181
org,apache,openjpa,kernel,StateManagerImpl,initialize(org,apache,openjpa,enhance,PersistenceCapable,org,apache,openjpa,kernel,PCState);10;367801;;;org,apache,openjpa,kernel,StateManagerImpl,initialize(org,apache,openjpa,enhance,PersistenceCapable,org,apache,openjpa,kernel,PCState);10;321579;;0;-46222;-14,3734510027
org,apache,openjpa,jdbc,meta,strats,AbstractVersionStrategy,afterLoad(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore);10;1580;;;org,apache,openjpa,jdbc,meta,strats,AbstractVersionStrategy,afterLoad(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore);10;395;;0;-1185;-300
org,apache,openjpa,enhance,PCRegistry,newInstance(java,lang,Class,org,apache,openjpa,enhance,StateManager,java,lang,Object,boolean);10;32396;;;org,apache,openjpa,enhance,PCRegistry,newInstance(java,lang,Class,org,apache,openjpa,enhance,StateManager,java,lang,Object,boolean);10;32001;;0;-395;-1,234336427
org,apache,openjpa,kernel,StateManagerImpl,storeStringField(int,java,lang,String);10;71114;;;org,apache,openjpa,kernel,StateManagerImpl,storeStringField(int,java,lang,String);10;56889;;0;-14225;-25,0048339749
org,test,MainEntity,pcSetDetachedState(java,lang,Object);10;395;;;org,test,MainEntity,pcSetDetachedState(java,lang,Object);10;1580;;0;1185;75
org,apache,openjpa,jdbc,meta,strats,PrimitiveFieldStrategy,getFieldIndex();10;1185;;;org,apache,openjpa,jdbc,meta,strats,PrimitiveFieldStrategy,getFieldIndex();10;2765;;0;1580;57,1428571429
org,apache,openjpa,kernel,StateManagerImpl,getBroker();10;1185;;;org,apache,openjpa,kernel,StateManagerImpl,getBroker();10;1580;;0;395;25
org,test,MainEntity,pcNewInstance(org,apache,openjpa,enhance,StateManager,java,lang,Object,boolean);10;19359;;;org,test,MainEntity,pcNewInstance(org,apache,openjpa,enhance,StateManager,java,lang,Object,boolean);10;20149;;0;790;3,9207901137
org,apache,openjpa,jdbc,meta,strats,AbstractVersionStrategy,load(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,sql,Result);10;2765;;;org,apache,openjpa,jdbc,meta,strats,AbstractVersionStrategy,load(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,sql,Result);10;1580;;0;-1185;-75
org,apache,openjpa,kernel,StateManagerImpl,setLoaded(int,boolean);10;1975;;;org,apache,openjpa,kernel,StateManagerImpl,setLoaded(int,boolean);10;790;;0;-1185;-150
org,apache,openjpa,kernel,StateManagerImpl,isDeleted();10;7111;;;org,apache,openjpa,kernel,StateManagerImpl,isDeleted();10;6716;;0;-395;-5,8814770697
org,apache,openjpa,lib,jdbc,DelegatingResultSet,getLong(int);10;149730;;;org,apache,openjpa,lib,jdbc,DelegatingResultSet,getLong(int);10;151703;;0;1973;1,3005675563
org,apache,openjpa,kernel,ResultShapePacker,pack(java,lang,Object);10;84149;;;org,apache,openjpa,kernel,ResultShapePacker,pack(java,lang,Object);10;58469;;0;-25680;-43,9207101199
org,apache,openjpa,jdbc,sql,AbstractResult,getString(java,lang,Object);10;260345;;;org,apache,openjpa,jdbc,sql,AbstractResult,getString(java,lang,Object);10;248889;;0;-11456;-4,602855088
org,apache,openjpa,jdbc,schema,Column,getJavaType();10;1185;;;org,apache,openjpa,jdbc,schema,Column,getJavaType();10;790;;0;-395;-50
org,apache,openjpa,lib,jdbc,DelegatingResultSet,wasNull();10;80988;;;org,apache,openjpa,lib,jdbc,DelegatingResultSet,wasNull();10;60050;;0;-20938;-34,8676103247
org,apache,openjpa,jdbc,sql,ResultSetResult,getStringInternal(java,lang,Object,org,apache,openjpa,jdbc,sql,Joins,boolean);10;190420;;;org,apache,openjpa,jdbc,sql,ResultSetResult,getStringInternal(java,lang,Object,org,apache,openjpa,jdbc,sql,Joins,boolean);10;200298;;0;9878;4,9316518388
org,apache,openjpa,kernel,TransferFieldManager,fetchStringField(int);10;1976;;;org,apache,openjpa,kernel,TransferFieldManager,fetchStringField(int);10;790;;0;-1186;-150,1265822785
org,apache,openjpa,kernel,StateManagerImpl,getUnloadedInternal(org,apache,openjpa,kernel,FetchConfiguration,int,java,util,BitSet);10;190023;;;org,apache,openjpa,kernel,StateManagerImpl,getUnloadedInternal(org,apache,openjpa,kernel,FetchConfiguration,int,java,util,BitSet);10;141036;;0;-48987;-34,7336850166
org,apache,openjpa,util,OpenJPAId,setManagedInstanceType(java,lang,Class);10;5135;;;org,apache,openjpa,util,OpenJPAId,setManagedInstanceType(java,lang,Class);10;4346;;0;-789;-18,1546249425
org,apache,openjpa,jdbc,meta,strats,StringFieldStrategy,load(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration,org,apache,openjpa,jdbc,sql,Result);10;470124;;;org,apache,openjpa,jdbc,meta,strats,StringFieldStrategy,load(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration,org,apache,openjpa,jdbc,sql,Result);10;417975;;0;-52149;-12,4765835277
org,test,MainEntity,pcClearFields();10;2765;;;org,test,MainEntity,pcClearFields();10;2370;;0;-395;-16,6666666667
org,apache,openjpa,meta,LifecycleMetaData,is_activated();10;0;;;org,apache,openjpa,meta,LifecycleMetaData,is_activated();10;1580;;0;1580;100
org,apache,openjpa,jdbc,sql,AbstractResult,load(org,apache,openjpa,jdbc,meta,ClassMapping,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration);10;3190124;;;org,apache,openjpa,jdbc,sql,AbstractResult,load(org,apache,openjpa,jdbc,meta,ClassMapping,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration);10;2496395;;0;-693729;-27,7892320726
org,apache,openjpa,kernel,StateManagerImpl,getVersion();10;395;;;org,apache,openjpa,kernel,StateManagerImpl,getVersion();10;1185;;0;790;66,6666666667
org,apache,openjpa,util,OpenJPAId,getType();10;2370;;;org,apache,openjpa,util,OpenJPAId,getType();10;1975;;0;-395;-20
org,apache,openjpa,kernel,TransferFieldManager,storeStringField(int,java,lang,String);10;1185;;;org,apache,openjpa,kernel,TransferFieldManager,storeStringField(int,java,lang,String);10;1185;;0;0;0
org,apache,openjpa,jdbc,sql,AbstractResult,getMappedByValue();10;1185;;;org,apache,openjpa,jdbc,sql,AbstractResult,getMappedByValue();10;2370;;0;1185;50
org,apache,openjpa,jdbc,meta,ClassMapping,assertJoinable(org,apache,openjpa,jdbc,schema,Column);10;23308;;;org,apache,openjpa,jdbc,meta,ClassMapping,assertJoinable(org,apache,openjpa,jdbc,schema,Column);10;13828;;0;-9480;-68,5565519236
org,apache,openjpa,kernel,StateManagerImpl,replaceStateManager(org,apache,openjpa,enhance,StateManager);10;2371;;;org,apache,openjpa,kernel,StateManagerImpl,replaceStateManager(org,apache,openjpa,enhance,StateManager);10;790;;0;-1581;-200,1265822785
org,apache,openjpa,kernel,PCState,isDirty();10;1185;;;org,apache,openjpa,kernel,PCState,isDirty();10;10271;;0;9086;88,4626618635
org,apache,openjpa,jdbc,sql,AbstractResult,contains(java,lang,Object);10;93238;;;org,apache,openjpa,jdbc,sql,AbstractResult,contains(java,lang,Object);10;71110;;0;-22128;-31,1179862185
org,apache,openjpa,kernel,PNonTransState,initialize(org,apache,openjpa,kernel,StateManagerImpl,org,apache,openjpa,kernel,PCState);10;73878;;;org,apache,openjpa,kernel,PNonTransState,initialize(org,apache,openjpa,kernel,StateManagerImpl,org,apache,openjpa,kernel,PCState);10;65578;;0;-8300;-12,6566836439
org,apache,openjpa,kernel,StateManagerImpl,proxyFields(boolean,boolean);10;15011;;;org,apache,openjpa,kernel,StateManagerImpl,proxyFields(boolean,boolean);10;14617;;0;-394;-2,6954915509
org,apache,openjpa,jdbc,meta,ClassMapping,getFieldMapping(int);10;2766;;;org,apache,openjpa,jdbc,meta,ClassMapping,getFieldMapping(int);10;1186;;0;-1580;-133,2209106239
org,test,MainEntity,pcReplaceField(int);10;17779;;;org,test,MainEntity,pcReplaceField(int);10;13036;;0;-4743;-36,3838600798
org,apache,openjpa,kernel,FetchConfigurationImpl,requiresLoad();10;1975;;;org,apache,openjpa,kernel,FetchConfigurationImpl,requiresLoad();10;1185;;0;-790;-66,6666666667
org,apache,openjpa,jdbc,meta,ClassMapping,getJoinable(org,apache,openjpa,jdbc,schema,Column);10;16592;;;org,apache,openjpa,jdbc,meta,ClassMapping,getJoinable(org,apache,openjpa,jdbc,schema,Column);10;7506;;0;-9086;-121,0498268052
org,apache,openjpa,kernel,FetchConfigurationImpl,reduce(int);10;1185;;;org,apache,openjpa,kernel,FetchConfigurationImpl,reduce(int);10;790;;0;-395;-50
org,apache,openjpa,jdbc,sql,AbstractResult,getObject(org,apache,openjpa,jdbc,schema,Column,java,lang,Object,org,apache,openjpa,jdbc,sql,Joins);10;581532;;;org,apache,openjpa,jdbc,sql,AbstractResult,getObject(org,apache,openjpa,jdbc,schema,Column,java,lang,Object,org,apache,openjpa,jdbc,sql,Joins);10;392296;;0;-189236;-48,2380651345
org,apache,openjpa,jdbc,meta,ClassMapping,getObjectId(org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,sql,Result,org,apache,openjpa,jdbc,schema,ForeignKey,boolean,org,apache,openjpa,jdbc,sql,Joins);10;840296;;;org,apache,openjpa,jdbc,meta,ClassMapping,getObjectId(org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,sql,Result,org,apache,openjpa,jdbc,schema,ForeignKey,boolean,org,apache,openjpa,jdbc,sql,Joins);10;581138;;0;-259158;-44,5949154934
org,apache,openjpa,jdbc,sql,ResultSetResult,getObjectInternal(java,lang,Object,int,java,lang,Object,org,apache,openjpa,jdbc,sql,Joins);10;527013;;;org,apache,openjpa,jdbc,sql,ResultSetResult,getObjectInternal(java,lang,Object,int,java,lang,Object,org,apache,openjpa,jdbc,sql,Joins);10;358321;;0;-168692;-47,0784575841
org,apache,openjpa,kernel,PCState,isTransactional();10;1975;;;org,apache,openjpa,kernel,PCState,isTransactional();10;1580;;0;-395;-25
org,apache,openjpa,meta,ValueMetaDataImpl,getDeclaredTypeMetaData();10;2370;;;org,apache,openjpa,meta,ValueMetaDataImpl,getDeclaredTypeMetaData();10;1975;;0;-395;-20
org,apache,openjpa,util,LongId,getId();10;2371;;;org,apache,openjpa,util,LongId,getId();10;2766;;0;395;14,28054953
org,apache,openjpa,jdbc,meta,strats,FullClassStrategy,isPrimaryKeyObjectId(boolean);10;1580;;;org,apache,openjpa,jdbc,meta,strats,FullClassStrategy,isPrimaryKeyObjectId(boolean);10;1185;;0;-395;-33,3333333333
org,apache,openjpa,kernel,DelegatingStoreManager,getManagedType(java,lang,Object);10;1975;;;org,apache,openjpa,kernel,DelegatingStoreManager,getManagedType(java,lang,Object);10;2765;;0;790;28,5714285714
org,apache,openjpa,lib,util,ReferenceHashMap,addMapping(int,int,java,lang,Object,java,lang,Object);10;41876;;;org,apache,openjpa,lib,util,ReferenceHashMap,addMapping(int,int,java,lang,Object,java,lang,Object);10;34766;;0;-7110;-20,4510153598
org,apache,openjpa,kernel,VersionLockManager,commonLock(org,apache,openjpa,kernel,OpenJPAStateManager,int,int,java,lang,Object,boolean);10;1975;;;org,apache,openjpa,kernel,VersionLockManager,commonLock(org,apache,openjpa,kernel,OpenJPAStateManager,int,int,java,lang,Object,boolean);10;1185;;0;-790;-66,6666666667
org,apache,openjpa,kernel,FetchConfigurationImpl,getAvailableRecursionDepth(org,apache,openjpa,meta,FieldMetaData,java,lang,Class,java,lang,String,boolean);10;5135;;;org,apache,openjpa,kernel,FetchConfigurationImpl,getAvailableRecursionDepth(org,apache,openjpa,meta,FieldMetaData,java,lang,Class,java,lang,String,boolean);10;5135;;0;0;0
org,apache,openjpa,kernel,StateManagerImpl,initialize(java,lang,Class,org,apache,openjpa,kernel,PCState);10;411259;;;org,apache,openjpa,kernel,StateManagerImpl,initialize(java,lang,Class,org,apache,openjpa,kernel,PCState);10;363062;;0;-48197;-13,2751430885
org,apache,openjpa,jdbc,meta,ClassMapping,isPrimaryKeyObjectId(boolean);10;23705;;;org,apache,openjpa,jdbc,meta,ClassMapping,isPrimaryKeyObjectId(boolean);10;11062;;0;-12643;-114,2921713976
org,apache,openjpa,kernel,StateManagerImpl,setObjectId(java,lang,Object);10;1185;;;org,apache,openjpa,kernel,StateManagerImpl,setObjectId(java,lang,Object);10;2766;;0;1581;57,15835141
org,apache,openjpa,enhance,PCRegistry,getMeta(java,lang,Class);10;2766;;;org,apache,openjpa,enhance,PCRegistry,getMeta(java,lang,Class);10;3951;;0;1185;29,9924069856
org,apache,openjpa,jdbc,sql,SelectImpl$SelectResult,load(org,apache,openjpa,jdbc,meta,ClassMapping,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration,org,apache,openjpa,jdbc,sql,Joins);10;3179063;;;org,apache,openjpa,jdbc,sql,SelectImpl$SelectResult,load(org,apache,openjpa,jdbc,meta,ClassMapping,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration,org,apache,openjpa,jdbc,sql,Joins);10;2487309;;0;-691754;-27,811341494
org,apache,openjpa,kernel,DelegatingStoreManager,beforeStateChange(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,kernel,PCState,org,apache,openjpa,kernel,PCState);10;1580;;;org,apache,openjpa,kernel,DelegatingStoreManager,beforeStateChange(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,kernel,PCState,org,apache,openjpa,kernel,PCState);10;1185;;0;-395;-33,3333333333
org,apache,openjpa,jdbc,meta,ClassMapping,getFieldMappings();10;1976;;;org,apache,openjpa,jdbc,meta,ClassMapping,getFieldMappings();10;1975;;0;-1;-0,0506329114
org,apache,openjpa,kernel,QueryImpl$PackingResultObjectProvider,getResultObject();10;3338667;;;org,apache,openjpa,kernel,QueryImpl$PackingResultObjectProvider,getResultObject();10;2602273;;0;-736394;-28,2981070779
org,apache,openjpa,kernel,StateManagerImpl,storeString(int,java,lang,String);10;82964;;;org,apache,openjpa,kernel,StateManagerImpl,storeString(int,java,lang,String);10;65976;;0;-16988;-25,7487571238
org,test,MainEntity,pcReplaceStateManager(org,apache,openjpa,enhance,StateManager);10;7901;;;org,test,MainEntity,pcReplaceStateManager(org,apache,openjpa,enhance,StateManager);10;8297;;0;396;4,7728094492
org,apache,openjpa,kernel,ResultShape,argLength();10;8295;;;org,apache,openjpa,kernel,ResultShape,argLength();10;6321;;0;-1974;-31,2292358804
org,apache,openjpa,jdbc,sql,ResultSetResult,getLongInternal(java,lang,Object,org,apache,openjpa,jdbc,sql,Joins);10;219655;;;org,apache,openjpa,jdbc,sql,ResultSetResult,getLongInternal(java,lang,Object,org,apache,openjpa,jdbc,sql,Joins);10;196347;;0;-23308;-11,8708205371
org,apache,openjpa,jdbc,meta,ClassMapping,isSelfReference(org,apache,openjpa,jdbc,schema,ForeignKey,org,apache,openjpa,jdbc,schema,Column[]);10;2765;;;org,apache,openjpa,jdbc,meta,ClassMapping,isSelfReference(org,apache,openjpa,jdbc,schema,ForeignKey,org,apache,openjpa,jdbc,schema,Column[]);10;2765;;0;0;0
org,apache,openjpa,kernel,StateManagerImpl,setDirty(boolean);10;32001;;;org,apache,openjpa,kernel,StateManagerImpl,setDirty(boolean);10;27258;;0;-4743;-17,400396214
org,apache,openjpa,kernel,ResultShapePacker,pack(java,lang,Object[]);10;73877;;;org,apache,openjpa,kernel,ResultShapePacker,pack(java,lang,Object[]);10;52149;;0;-21728;-41,6652284799
org,apache,openjpa,jdbc,meta,Version,load(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,sql,Result);10;14220;;;org,apache,openjpa,jdbc,meta,Version,load(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,sql,Result);10;12640;;0;-1580;-12,5
org,apache,openjpa,lib,util,ReferenceHashMap,createEntry(org,apache,commons,collections,map,AbstractHashedMap$HashEntry,int,java,lang,Object,java,lang,Object);10;17383;;;org,apache,openjpa,lib,util,ReferenceHashMap,createEntry(org,apache,commons,collections,map,AbstractHashedMap$HashEntry,int,java,lang,Object,java,lang,Object);10;15408;;0;-1975;-12,8180166147
org,apache,openjpa,kernel,DelegatingStoreManager,initialize(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,kernel,PCState,org,apache,openjpa,kernel,FetchConfiguration,java,lang,Object);10;1628840;;;org,apache,openjpa,kernel,DelegatingStoreManager,initialize(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,kernel,PCState,org,apache,openjpa,kernel,FetchConfiguration,java,lang,Object);10;1351506;;0;-277334;-20,5203676491
org,apache,openjpa,jdbc,meta,strats,AbstractClassStrategy,customLoad(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration,org,apache,openjpa,jdbc,sql,Result);10;1185;;;org,apache,openjpa,jdbc,meta,strats,AbstractClassStrategy,customLoad(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration,org,apache,openjpa,jdbc,sql,Result);10;2766;;0;1581;57,15835141
org,apache,openjpa,jdbc,meta,strats,AbstractFieldStrategy,load(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration,org,apache,openjpa,jdbc,sql,Result);10;2765;;;org,apache,openjpa,jdbc,meta,strats,AbstractFieldStrategy,load(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration,org,apache,openjpa,jdbc,sql,Result);10;4346;;0;1581;36,3782788771
org,apache,openjpa,jdbc,kernel,SelectResultObjectProvider,getStore();10;1580;;;org,apache,openjpa,jdbc,kernel,SelectResultObjectProvider,getStore();10;1581;;0;1;0,0632511069
org,apache,openjpa,meta,ValueMetaDataImpl,getDeclaredTypeCode();10;2370;;;org,apache,openjpa,meta,ValueMetaDataImpl,getDeclaredTypeCode();10;1976;;0;-394;-19,9392712551
org,apache,openjpa,jdbc,meta,Version,afterLoad(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore);10;15408;;;org,apache,openjpa,jdbc,meta,Version,afterLoad(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore);10;11852;;0;-3556;-30,0033749578
org,apache,openjpa,jdbc,kernel,SelectResultObjectProvider,getResult();10;1975;;;org,apache,openjpa,jdbc,kernel,SelectResultObjectProvider,getResult();10;0;;0;-1975;#VALEUR !
org,apache,openjpa,persistence,criteria,Expressions,returnCopy(java,util,List);9;2766;;;org,apache,openjpa,persistence,criteria,Expressions,returnCopy(java,util,List);9;3951;;0;1185;29,9924069856
org,apache,openjpa,jdbc,sql,SQLBuffer,append(java,lang,String);8;1185;;;org,apache,openjpa,jdbc,sql,SQLBuffer,append(java,lang,String);8;2765;;0;1580;57,1428571429
org,apache,openjpa,kernel,QueryImpl,compileForCompilation();8;28445;;;org,apache,openjpa,kernel,QueryImpl,compileForCompilation();8;30025;;0;1580;5,2622814321
org,apache,openjpa,kernel,QueryImpl,assertOpen();8;1580;;;org,apache,openjpa,kernel,QueryImpl,assertOpen();8;1580;;0;0;0
org,apache,openjpa,persistence,criteria,CriteriaQueryImpl,getDelegator();8;1580;;;org,apache,openjpa,persistence,criteria,CriteriaQueryImpl,getDelegator();8;1185;;0;-395;-33,3333333333
org,apache,openjpa,kernel,QueryImpl,compileForExecutor();6;878617;;;org,apache,openjpa,kernel,QueryImpl,compileForExecutor();6;1276840;;0;398223;31,1881676639
org,apache,openjpa,persistence,criteria,CriteriaQueryImpl,getSelectionList();5;3556;;;org,apache,openjpa,persistence,criteria,CriteriaQueryImpl,getSelectionList();5;4741;;0;1185;24,9947268509
org,apache,openjpa,jdbc,identifier,QualifiedDBIdentifier,getName();5;11852;;;org,apache,openjpa,jdbc,identifier,QualifiedDBIdentifier,getName();5;18569;;0;6717;36,1731918789
org,apache,openjpa,jdbc,sql,DBDictionary,getNamingUtil();5;1976;;;org,apache,openjpa,jdbc,sql,DBDictionary,getNamingUtil();5;790;;0;-1186;-150,1265822785
org,apache,openjpa,jdbc,sql,SelectImpl$Selects$1,size();5;1185;;;org,apache,openjpa,jdbc,sql,SelectImpl$Selects$1,size();5;790;;0;-395;-50
org,apache,openjpa,jdbc,kernel,PreparedQueryCacheImpl,lock(boolean);5;3951;;;org,apache,openjpa,jdbc,kernel,PreparedQueryCacheImpl,lock(boolean);5;4346;;0;395;9,0888173033
org,apache,openjpa,lib,identifier,IdentifierUtilImpl,needsConversion(org,apache,openjpa,lib,identifier,IdentifierConfiguration);5;5925;;;org,apache,openjpa,lib,identifier,IdentifierUtilImpl,needsConversion(org,apache,openjpa,lib,identifier,IdentifierConfiguration);5;9875;;0;3950;40
org,apache,openjpa,persistence,criteria,CriteriaQueryImpl,getMetamodel();5;395;;;org,apache,openjpa,persistence,criteria,CriteriaQueryImpl,getMetamodel();5;1580;;0;1185;75
org,apache,openjpa,persistence,criteria,CriteriaQueryImpl,assertRoot();5;1185;;;org,apache,openjpa,persistence,criteria,CriteriaQueryImpl,assertRoot();5;1975;;0;790;40
org,apache,openjpa,jdbc,kernel,PreparedQueryCacheImpl,unlock(boolean);5;2765;;;org,apache,openjpa,jdbc,kernel,PreparedQueryCacheImpl,unlock(boolean);5;3555;;0;790;22,2222222222
org,apache,openjpa,persistence,criteria,CriteriaQueryImpl,getRoots();5;10271;;;org,apache,openjpa,persistence,criteria,CriteriaQueryImpl,getRoots();5;16987;;0;6716;39,5361158533
org,apache,openjpa,jdbc,identifier,QualifiedDBIdentifier,getBaseName();5;2370;;;org,apache,openjpa,jdbc,identifier,QualifiedDBIdentifier,getBaseName();5;3161;;0;791;25,0237266688
org,apache,openjpa,lib,identifier,IdentifierImpl,getName();5;0;;;org,apache,openjpa,lib,identifier,IdentifierImpl,getName();5;790;;0;790;100
org,apache,openjpa,kernel,QueryImpl,getLanguage();5;396;;;org,apache,openjpa,kernel,QueryImpl,getLanguage();5;1185;;0;789;66,582278481
org,apache,commons,collections,map,AbstractHashedMap,size();4;790;;;org,apache,commons,collections,map,AbstractHashedMap,size();4;790;;0;0;0
org,apache,openjpa,kernel,DelegatingQuery,getLanguage();4;1581;;;org,apache,openjpa,kernel,DelegatingQuery,getLanguage();4;3556;;0;1975;55,5399325084
org,apache,openjpa,jdbc,sql,DBDictionary,getSupportsDelimitedIdentifiers();4;395;;;org,apache,openjpa,jdbc,sql,DBDictionary,getSupportsDelimitedIdentifiers();4;395;;0;0;0
org,apache,openjpa,kernel,exps,QueryExpressions,isAggregate();4;790;;;org,apache,openjpa,kernel,exps,QueryExpressions,isAggregate();4;790;;0;0;0
org,apache,openjpa,jdbc,kernel,exps,EmptyExpression,acceptVisit(org,apache,openjpa,kernel,exps,ExpressionVisitor);4;15407;;;org,apache,openjpa,jdbc,kernel,exps,EmptyExpression,acceptVisit(org,apache,openjpa,kernel,exps,ExpressionVisitor);4;18962;;0;3555;18,7480223605
org,apache,commons,collections,map,AbstractReferenceMap,verify(java,lang,String,int);4;790;;;org,apache,commons,collections,map,AbstractReferenceMap,verify(java,lang,String,int);4;0;;0;-790;#VALEUR !
org,apache,commons,collections,map,AbstractReferenceMap,size();4;12246;;;org,apache,commons,collections,map,AbstractReferenceMap,size();4;10271;;0;-1975;-19,2288968942
