OpenJPA 2,3,0 openjpa land;;;;;OpenJPA 2,4,1 openjpa land;;;;;diff;Diff (%)
org,apache,commons,collections,map,AbstractReferenceMap$ReferenceEntry,toReference(int,java,lang,Object,int);24;11852;;;org,apache,commons,collections,map,AbstractReferenceMap$ReferenceEntry,toReference(int,java,lang,Object,int);24;10667;;0;-1185;-11,1090278429
org,apache,commons,collections,map,AbstractReferenceMap,purgeBeforeRead();24;15802;;;org,apache,commons,collections,map,AbstractReferenceMap,purgeBeforeRead();24;15409;;0;-393;-2,5504575248
org,apache,openjpa,kernel,FetchConfigurationImpl,getReadLockLevel();23;3160;;;org,apache,openjpa,kernel,FetchConfigurationImpl,getReadLockLevel();23;2370;;0;-790;-33,3333333333
org,apache,openjpa,jdbc,meta,ClassMapping,isMapped();22;22913;;;org,apache,openjpa,jdbc,meta,ClassMapping,isMapped();22;13433;;0;-9480;-70,5724707809
org,apache,openjpa,jdbc,meta,strats,NoneClassStrategy,getInstance();22;3161;;;org,apache,openjpa,jdbc,meta,strats,NoneClassStrategy,getInstance();22;3160;;0;-1;-0,0316455696
org,apache,openjpa,kernel,FetchConfigurationImpl,traverse(org,apache,openjpa,meta,FieldMetaData);21;32789;;;org,apache,openjpa,kernel,FetchConfigurationImpl,traverse(org,apache,openjpa,meta,FieldMetaData);21;30417;;0;-2372;-7,7982707039
org,apache,openjpa,lib,identifier,IdentifierUtilImpl,getIdentifierConfiguration();21;1185;;;org,apache,openjpa,lib,identifier,IdentifierUtilImpl,getIdentifierConfiguration();21;3161;;0;1976;62,5118633344
org,apache,openjpa,jdbc,kernel,JDBCFetchConfigurationImpl,traverseJDBC(org,apache,openjpa,meta,FieldMetaData);21;42272;;;org,apache,openjpa,jdbc,kernel,JDBCFetchConfigurationImpl,traverseJDBC(org,apache,openjpa,meta,FieldMetaData);21;39505;;0;-2767;-7,0041766865
org,apache,openjpa,jdbc,meta,Discriminator,assertStrategy();21;3556;;;org,apache,openjpa,jdbc,meta,Discriminator,assertStrategy();21;2766;;0;-790;-28,56109906
org,apache,openjpa,jdbc,meta,Version,assertStrategy();21;2765;;;org,apache,openjpa,jdbc,meta,Version,assertStrategy();21;1580;;0;-1185;-75
org,apache,openjpa,jdbc,meta,ClassMapping,getVersion();21;3162;;;org,apache,openjpa,jdbc,meta,ClassMapping,getVersion();21;3160;;0;-2;-0,0632911392
org,apache,commons,collections,map,AbstractReferenceMap,get(java,lang,Object);20;84938;;;org,apache,commons,collections,map,AbstractReferenceMap,get(java,lang,Object);20;82568;;0;-2370;-2,8703613991
org,apache,openjpa,jdbc,meta,strats,AbstractDiscriminatorStrategy,getClass(org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,meta,ClassMapping,org,apache,openjpa,jdbc,sql,Result);20;2370;;;org,apache,openjpa,jdbc,meta,strats,AbstractDiscriminatorStrategy,getClass(org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,meta,ClassMapping,org,apache,openjpa,jdbc,sql,Result);20;2370;;0;0;0
org,apache,openjpa,jdbc,meta,Discriminator,getClass(org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,meta,ClassMapping,org,apache,openjpa,jdbc,sql,Result);20;22913;;;org,apache,openjpa,jdbc,meta,Discriminator,getClass(org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,meta,ClassMapping,org,apache,openjpa,jdbc,sql,Result);20;24101;;0;1188;4,9292560475
org,apache,openjpa,kernel,StateManagerImpl,getOwner();20;1975;;;org,apache,openjpa,kernel,StateManagerImpl,getOwner();20;2371;;0;396;16,7018135808
org,apache,openjpa,jdbc,meta,FieldMapping,load(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration,org,apache,openjpa,jdbc,sql,Result);20;553087;;;org,apache,openjpa,jdbc,meta,FieldMapping,load(org,apache,openjpa,kernel,OpenJPAStateManager,org,apache,openjpa,jdbc,kernel,JDBCStore,org,apache,openjpa,jdbc,kernel,JDBCFetchConfiguration,org,apache,openjpa,jdbc,sql,Result);20;563360;;0;10273;1,8235231468
org,apache,openjpa,meta,JavaTypes,convert(java,lang,Object,int);20;3950;;;org,apache,openjpa,meta,JavaTypes,convert(java,lang,Object,int);20;3951;;0;1;0,0253100481
org,apache,openjpa,jdbc,sql,SelectImpl$Selects,get(int);20;3161;;;org,apache,openjpa,jdbc,sql,SelectImpl$Selects,get(int);20;3555;;0;394;11,0829817159
org,test,MainEntity,pcGetStateManager();20;2371;;;org,test,MainEntity,pcGetStateManager();20;2370;;0;-1;-0,0421940928
org,apache,openjpa,kernel,StateManagerImpl,getObjectId();20;19751;;;org,apache,openjpa,kernel,StateManagerImpl,getObjectId();20;18962;;0;-789;-4,1609534859
org,apache,openjpa,kernel,PCState,isPendingTransactional();20;3556;;;org,apache,openjpa,kernel,PCState,isPendingTransactional();20;1186;;0;-2370;-199,8313659359
org,apache,openjpa,util,OpenJPAId,setManagedInstanceType(java,lang,Class,boolean);20;2765;;;org,apache,openjpa,util,OpenJPAId,setManagedInstanceType(java,lang,Class,boolean);20;3950;;0;1185;30
org,apache,openjpa,kernel,ManagedCache,getById(java,lang,Object,boolean);20;93628;;;org,apache,openjpa,kernel,ManagedCache,getById(java,lang,Object,boolean);20;91653;;0;-1975;-2,1548667256
org,apache,openjpa,kernel,StateManagerImpl,getLoaded();20;4742;;;org,apache,openjpa,kernel,StateManagerImpl,getLoaded();20;1975;;0;-2767;-140,1012658228
org,apache,openjpa,jdbc,sql,SelectImpl$Selects,size();20;5530;;;org,apache,openjpa,jdbc,sql,SelectImpl$Selects,size();20;5136;;0;-394;-7,6713395639
org,apache,openjpa,jdbc,sql,AbstractResult,getMappedByFieldMapping();20;3556;;;org,apache,openjpa,jdbc,sql,AbstractResult,getMappedByFieldMapping();20;1975;;0;-1581;-80,0506329114
